x,n
0.5446718616991468,414.0
0.9572970796212027,415.0
0.1577944105438889,416.0
0.5129759913436828,417.0
0.9643500672837838,418.0
0.13270299795228543,419.0
0.4442586414268981,420.0
0.95300659764548,421.0
0.17287018681011146,422.0
0.5519262893442657,423.0
0.9545921294332514,424.0
0.16731554400933998,425.0
0.5377792635848865,426.0
0.9594907271579171,427.0
0.15003152859173008,428.0
0.49223518641781355,429.0
0.9647672716063307,430.0
0.13120673932032392,431.0
0.4400073091861946,432.0
0.9511073854088279,433.0
0.17949820956229928,434.0
0.5684954049792408,435.0
0.9468903448573769,436.0
0.19411561593876336,437.0
0.6038381102476645,438.0
0.9233801168803484,439.0
0.2730922077932766,440.0
0.7662596158064598,441.0
0.6913484535837021,442.0
0.8236690695409455,443.0
0.5606199670108444,444.0
0.950815347654472,445.0
0.1805149161520255,446.0
0.5710070254267994,447.0
0.9455378890325461,448.0
0.19877451922459138,449.0
0.6147559895640684,450.0
0.9141679026364016,451.0
0.30287470092344976,452.0
0.8150066395509651,453.0
0.5819753537698003,454.0
0.9390609597048601,455.0
0.22089032833936212,456.0
0.6642974739759948,457.0
0.8608044725741142,458.0
0.46250571172218896,459.0
0.959573528417646,460.0
0.14973778383413486,461.0
0.49144122651658634,462.0
0.964717244950334,463.0
0.13138622546867726,464.0
0.4405181969714767,465.0
0.9513429923187173,466.0
0.178677482679275,467.0
0.5664621018699154,468.0
0.9479495655980273,469.0
0.190456980586879,470.0
0.5951468398518676,471.0
0.9300557244235438,472.0
0.2511010052174881,473.0
0.7258702609295448,474.0
0.7680729333786107,475.0
0.6876084432245776,476.0
0.8291398580390827,477.0
0.546834441861048,478.0
0.9565332253144775,479.0
0.16048881875008764,480.0
0.5200661291322761,481.0
0.9634457727819566,482.0
0.13594154056546515,483.0
0.4534011511206311,484.0
0.9566181925128345,485.0
0.16018932938796426,486.0
0.5192808134134463,487.0
0.9635650459036873,488.0
0.13551475011496542,489.0
0.45220094009870143,490.0
0.9561808645080508,491.0
0.1617302127868132,492.0
0.523313907086757,493.0
0.9629019423023113,494.0
0.13788611639720597,495.0
0.45885184626611425,496.0
0.9584643616549692,497.0
0.15366825629628428,498.0
0.5020096879501349,499.0
0.9649844100557643,500.0
0.13042746384365836,501.0
0.43778630240322247,502.0
0.9500596995089596,503.0
0.18314259014871315,504.0
0.5774613338342077,505.0
0.9418390031960141,506.0
0.21144421968334517,507.0
0.6435992679529672,508.0
0.8854039059394155,509.0
0.3916503810464386,510.0
0.9196849898803056,511.0
0.2851170057789878,512.0
0.7867656533472039,513.0
0.6475746758329559,514.0
0.8809358201038002,515.0
0.4048672977127223,516.0
0.9300661081683078,517.0
0.2510665304551663,518.0
0.7258040130778334,519.0
0.7681884340368702,520.0
0.6873693604565662,521.0
0.8294859098616959,522.0
0.5459546758820761,523.0
0.956848327571253,524.0
0.15937787759804742,525.0
0.5171495591593024,526.0
0.9638647455156766,527.0
0.1344418617692317,528.0
0.4491775756327624,529.0
0.9550299333603446,530.0
0.16577835261987023,531.0
0.5338221370308971,532.0
0.96058440336012,533.0
0.14614734849221292,534.0
0.48168284194070715,535.0
0.9637048994416352,536.0
0.1350141776625568,537.0
0.4507914490416689,538.0
0.955653081458564,539.0
0.1635878397192369,540.0
0.5281516734827884,541.0
0.9619408854612573,542.0
0.14131698678958038,543.0
0.46839747469237464,544.0
0.9611449423215381,545.0
0.14415302078108394,546.0
0.47621949968978117,547.0
0.9628171229272833,548.0
0.13818919939970417,549.0
0.4596987660362356,550.0
0.9587306286882519,551.0
0.15272557177066537,552.0
0.4994858199822364,553.0
0.9649989794889899,554.0
0.13037516342640396,555.0
0.43763707352545766,556.0
0.949987940449909,557.0
0.1833918943156458,558.0
0.5780709266217641,559.0
0.9414730314073778,560.0
0.21269203140432436,561.0
0.6463729463603054,562.0
0.8822993478148802,563.0
0.40085022542882465,564.0
0.9270535837015925,565.0
0.2610334134598398,566.0
0.7445745861969484,567.0
0.734107429096243,568.0
0.7534477269379174,569.0
0.717050003880611,570.0
0.7831526818475473,571.0
0.6555227968234107,572.0
0.8716368663193449,573.0
0.43188011282642225,574.0
0.9470883685498318,575.0
0.19343228413075608,576.0
0.6022226693647181,577.0
0.9246650298502928,578.0
0.2688861039498848,579.0
0.758823376822791,580.0
0.7064203740947835,581.0
0.8005278285520787,582.0
0.6163764736658813,583.0
0.9127221532155846,584.0
0.30748923758605323,585.0
0.8219468805295317,586.0
0.5649117956127913,587.0
0.9487357309306476,588.0
0.18773590101449064,589.0
0.5886157713912045,590.0
0.9346883659344633,591.0
0.235637654651933,592.0
0.6952344443975877,593.0
0.8178703552421537,594.0
0.5749795678167563,595.0
0.943299328622648,596.0
0.20645482223685888,597.0
0.6323885424423427,598.0
0.8973468369837692,599.0
0.35556579579651676,600.0
0.8844756161325711,601.0
0.39440901231399217,602.0
0.9219630972132442,603.0
0.277715978118196,604.0
0.7742766805579517,605.0
0.6746210876581497,606.0
0.8472988563760273,607.0
0.4994203268292277,608.0
0.9649987029589983,609.0
0.13037615611129433,610.0
0.43763990615169956,611.0
0.9499893041635922,612.0
0.18338715689409324,613.0
0.5780593472603226,614.0
0.9414800098584284,615.0
0.21266824745625162,616.0
0.6463201909633333,617.0
0.8823589506255112,618.0
0.4006743029035135,619.0
0.9269188067597064,620.0
0.26147768319859227,621.0
0.7453934229364791,622.0
0.7325587824009405,623.0
0.7562373531308211,624.0
0.7115617368015721,625.0
0.792232697672999,626.0
0.6353561945855397,627.0
0.894279784267061,628.0
0.36493772363271454,629.0
0.8945865805996,630.0
0.36400352138536146,631.0
0.8936091371250542,632.0
0.36697733008264727,633.0
0.8966971814519078,634.0
0.35755699644051286,635.0
0.8866805642446345,636.0
0.38784562516884125,637.0
0.9164465893560553,638.0
0.29556883950491697,639.0
0.8036824963879257,640.0
0.6090189937561263,641.0
0.9191233557415506,642.0
0.28693546491369476,643.0
0.7897695250094423,644.0
0.6408897823705965,645.0
0.8883792672029646,646.0
0.3827635629545887,647.0
0.9119466848195436,648.0
0.3099577254234843,649.0
0.825591984752807,650.0
0.5558008575338496,651.0
0.9529809801921599,652.0
0.17295977391481904,653.0
0.5521525054155134,654.0
0.9545012484504953,655.0
0.1676344545057927,656.0
0.5385979364897847,657.0
0.9592493692930999,658.0
0.1508874648630152,659.0
0.4945448899474784,660.0
0.9648851332488553,661.0
0.13078379773298912,662.0
0.43880246849640925,663.0
0.9505437678521667,664.0
0.1814598091433516,665.0
0.5733340866827786,666.0
0.9442413512793544,667.0
0.203227540200084,668.0
0.6250347734226259,669.0
0.904653938979689,670.0
0.3329450321193373,671.0
0.8572775815466683,672.0
0.4722815367352721,673.0
0.9620343110257737,674.0
0.14098378037886286,675.0
0.46747438662893703,676.0
0.9609164460728674,677.0
0.14496627479469196,678.0
0.4784510683120094,679.0
0.9632075840763904,680.0
0.13679351344887894,681.0
0.45579284577095464,682.0
0.9574565082077818,683.0
0.1572314763596064,684.0
0.5114875933173458,685.0
0.9644906158711325,686.0
0.1321990855831523,687.0
0.44282880118694434,688.0
0.9523834125414332,689.0
0.17504809750143832,690.0
0.5574081677015019,691.0
0.952278606805263,692.0
0.1754140786494806,693.0
0.558325761491593,694.0
0.9518686874092036,695.0
0.17684470084886206,696.0
0.5619027191538788,697.0
0.9502086859748341,698.0
0.18262485682105903,699.0
0.5761938513796864,700.0
0.9425907584660508,701.0
0.20887780320892116,702.0
0.6378567648271705,703.0
0.8916426778307507,704.0
0.37293780980001706,705.0
0.9026810713113116,706.0
0.33909310555723715,707.0
0.8650606292982322,708.0
0.4505806445744216,709.0
0.9555728274139766,710.0
0.1638701198390553,711.0
0.5288844761391374,712.0
0.961779551967327,713.0
0.14189223118553929,714.0
0.469989068030853,715.0
0.9615234676946449,716.0
0.14280490264104478,717.0
0.4725090169517243,718.0
0.9620827889850121,719.0
0.14081085503799454,720.0
0.46699499042604886,721.0
0.9607951836640702,722.0
0.14539770302830368,723.0
0.47963283439205195,724.0
0.9633987892612799,725.0
0.13610962974915455,726.0
0.4538734619733921,727.0
0.9567872420101643,728.0
0.1595933039718457,729.0
0.5177158658148956,730.0
0.9637885316599345,731.0
0.13471476389678666,732.0
0.4499474476601759,733.0
0.9553297041364789,734.0
0.1647249616496083,735.0
0.5310999038242934,736.0
0.961266592490982,737.0
0.1437198843157872,738.0
0.4750288895886496,739.0
0.962593072469021,740.0
0.13898952631217024,741.0
0.46193175024647865,742.0
0.9594061202723156,743.0
0.15033162429346722,744.0
0.4930456243387144,745.0
0.964813317504364,746.0
0.13104151830046679,747.0
0.43953680569842435,748.0
0.9508886202405207,749.0
0.18025988525113418,750.0
0.570377759818675,751.0
0.945881307762413,752.0
0.1975928572379902,753.0
0.6120026912251573,754.0
0.9165778330311233,755.0
0.2951468288445812,756.0
0.803015788112815,757.0
0.6105803281158666,758.0
0.9177998853904189,759.0
0.2912109672635259,760.0
0.7967315596626147,761.0
0.6251284725907417,762.0
0.9045634602398368,763.0
0.33322764962565216,764.0
0.8576417549613768,765.0
0.4712765679174454,766.0
0.9618153627746797,767.0
0.14176456292242312,768.0
0.46963605446029255,769.0
0.96144119893147,770.0
0.14309799692473402,771.0
0.4733169063753305,772.0
0.9622517283064221,773.0
0.14020809115602115,774.0
0.4653221597953672,775.0
0.9603581469591439,776.0
